,PMID,Eligible,Model,Disease,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
255,34613527,Yes,Spatiotemporal,Covid-19,Spatiotemporal modeling of first and second wave outbreak dynamics of COVID-19 in Germany,"Lippold D, Kergaßner A, Burkhardt C, Kergaßner M, Loos J, Nistler S, Steinmann P, Budday D, Budday S.",Biomech Model Mechanobiol. 2022 Feb;21(1):119-133. doi: 10.1007/s10237-021-01520-x. Epub 2021 Oct 6.,Lippold D,Biomech Model Mechanobiol,2022,2021/10/06,PMC8493548,,10.1007/s10237-021-01520-x
256,34611630,Yes,Time Series,Multiple different agents,Co-benefits of nonpharmaceutical intervention against COVID-19 on infectious diseases in China: A large population-based observational study,"Xiao J, Dai J, Hu J, Liu T, Gong D, Li X, Kang M, Zhou Y, Li Y, Quan Y, He G, Zhong R, Zhu Z, Huang Q, Zhang Y, Huang J, Du Q, Li Y, Song T, Hu W, Zhong H, Ma W.",Lancet Reg Health West Pac. 2021 Dec;17:100282. doi: 10.1016/j.lanwpc.2021.100282. Epub 2021 Oct 1.,Xiao J,Lancet Reg Health West Pac,2021,2021/10/06,PMC8484818,,10.1016/j.lanwpc.2021.100282
257,34611391,Yes,Spatiotemporal,Covid-19,System Inference Via Field Inversion for the Spatio-Temporal Progression of Infectious Diseases: Studies of COVID-19 in Michigan and Mexico,"Wang Z, Carrasco-Teja M, Zhang X, Teichert GH, Garikipati K.",Arch Comput Methods Eng. 2021;28(6):4283-4295. doi: 10.1007/s11831-021-09643-1. Epub 2021 Oct 1.,Wang Z,Arch Comput Methods Eng,2021,2021/10/06,PMC8484856,,10.1007/s11831-021-09643-1
258,34611386,Yes,Compartmental,Covid-19,Machine learning predictions of COVID-19 second wave end-times in Indian states,"Kondapalli AR, Koganti H, Challagundla SK, Guntaka CSR, Biswas S.",Indian J Phys Proc Indian Assoc Cultiv Sci (2004). 2021 Oct 1:1-9. doi: 10.1007/s12648-021-02195-x. Online ahead of print.,Kondapalli AR,Indian J Phys Proc Indian Assoc Cultiv Sci (2004),2021,2021/10/06,PMC8485314,,10.1007/s12648-021-02195-x
259,34608351,Yes,Compartmental,Covid-19,Forecasting COVID-19 Chile' second outbreak by a generalized SIR model with constant time delays and a fitted positivity rate,"Cumsille P, Rojas-Díaz Ó, de Espanés PM, Verdugo-Hernández P.",Math Comput Simul. 2022 Mar;193:1-18. doi: 10.1016/j.matcom.2021.09.016. Epub 2021 Sep 29.,Cumsille P,Math Comput Simul,2022,2021/10/05,PMC8480140,,10.1016/j.matcom.2021.09.016
260,34608201,Yes,Compartmental,Covid-19,Addressing hospitalisations with non-error-free data by generalised SEIR modelling of COVID-19 pandemic,"Mendes JM, Coelho PS.",Sci Rep. 2021 Oct 4;11(1):19617. doi: 10.1038/s41598-021-98975-w.,Mendes JM,Sci Rep,2021,2021/10/05,PMC8490474,,10.1038/s41598-021-98975-w
261,34607866,Yes,Spatiotemporal,Covid-19,"Spatiotemporal analysis of the first wave of COVID-19 hospitalisations in Birmingham, UK","Watson SI, Diggle PJ, Chipeta MG, Lilford RJ.",BMJ Open. 2021 Oct 4;11(10):e050574. doi: 10.1136/bmjopen-2021-050574.,Watson SI,BMJ Open,2021,2021/10/05,PMC8490999,,10.1136/bmjopen-2021-050574
262,34606524,Yes,Agent-based,Covid-19,"A Full-Scale Agent-Based Model to Hypothetically Explore the Impact of Lockdown, Social Distancing, and Vaccination During the COVID-19 Pandemic in Lombardy, Italy: Model Development",Giacopelli G.,JMIRx Med. 2021 Sep 10;2(3):e24630. doi: 10.2196/24630. eCollection 2021 Jul-Sep.,Giacopelli G,JMIRx Med,2021,2021/10/04,PMC8459738,,10.2196/24630
263,34606503,Yes,Compartmental,Covid-19,A hybrid approach to forecast the COVID-19 epidemic trend,"Nawaz SA, Li J, Bhatti UA, Bazai SU, Zafar A, Bhatti MA, Mehmood A, Ain QU, Shoukat MU.",PLoS One. 2021 Oct 4;16(10):e0256971. doi: 10.1371/journal.pone.0256971. eCollection 2021.,Nawaz SA,PLoS One,2021,2021/10/04,PMC8489714,,10.1371/journal.pone.0256971
264,34604831,Yes,Time Series,Covid-19,"Forecasting COVID-19 pandemic in Alberta, Canada using modified ARIMA models",Sun J.,Comput Methods Programs Biomed Update. 2021;1:100029. doi: 10.1016/j.cmpbup.2021.100029. Epub 2021 Sep 26.,Sun J,Comput Methods Programs Biomed Update,2021,2021/10/04,PMC8466853,,10.1016/j.cmpbup.2021.100029
265,34601321,Yes,Multiple,Covid-19,Rational evaluation of various epidemic models based on the COVID-19 data of China,"Yang W, Zhang D, Peng L, Zhuge C, Hong L.",Epidemics. 2021 Dec;37:100501. doi: 10.1016/j.epidem.2021.100501. Epub 2021 Sep 25.,Yang W,Epidemics,2021,2021/10/03,PMC8464399,,10.1016/j.epidem.2021.100501
266,34600500,Yes,Compartmental,General (theoretical model),Governance structure affects transboundary disease management under alternative objectives,"Blackwood JC, Malakhov MM, Duan J, Pellett JJ, Phadke IS, Lenhart S, Sims C, Shea K.",BMC Public Health. 2021 Oct 2;21(1):1782. doi: 10.1186/s12889-021-11797-3.,Blackwood JC,BMC Public Health,2021,2021/10/03,PMC8487237,,10.1186/s12889-021-11797-3
267,34600485,Yes,Time Series,Covid-19,Factors shaping the COVID-19 epidemic curve: a multi-country analysis,"Jang SY, Hussain-Alkhateeb L, Rivera Ramirez T, Al-Aghbari AA, Chackalackal DJ, Cardenas-Sanchez R, Carrillo MA, Oh IH, Alfonso-Sierra EA, Oechsner P, Kibiwott Kirui B, Anto M, Diaz-Monsalve S, Kroeger A.",BMC Infect Dis. 2021 Oct 2;21(1):1032. doi: 10.1186/s12879-021-06714-3.,Jang SY,BMC Infect Dis,2021,2021/10/03,PMC8487341,,10.1186/s12879-021-06714-3
268,34599162,Yes,Spatiotemporal,Lassa fever,Geographical drivers and climate-linked dynamics of Lassa fever in Nigeria,"Redding DW, Gibb R, Dan-Nwafor CC, Ilori EA, Yashe RU, Oladele SH, Amedu MO, Iniobong A, Attfield LA, Donnelly CA, Abubakar I, Jones KE, Ihekweazu C.",Nat Commun. 2021 Oct 1;12(1):5759. doi: 10.1038/s41467-021-25910-y.,Redding DW,Nat Commun,2021,2021/10/02,PMC8486829,,10.1038/s41467-021-25910-y
269,34595708,Yes,Spatiotemporal,Covid-19,Spatiotemporal cluster analysis of COVID-19 and its relationship with environmental factors at the city level in mainland China,"Yang SQ, Fang ZG, Lv CX, An SY, Guan P, Huang DS, Wu W.",Environ Sci Pollut Res Int. 2022 Feb;29(9):13386-13395. doi: 10.1007/s11356-021-16600-9. Epub 2021 Sep 30.,Yang SQ,Environ Sci Pollut Res Int,2022,2021/10/01,PMC8483427,,10.1007/s11356-021-16600-9
270,34592277,Yes,Multiple,Covid-19,Model-based ensembles: Lessons learned from retrospective analysis of COVID-19 infection forecasts across 10 countries,"Drews M, Kumar P, Singh RK, De La Sen M, Singh SS, Pandey AK, Kumar M, Rani M, Srivastava PK.",Sci Total Environ. 2022 Feb 1;806(Pt 2):150639. doi: 10.1016/j.scitotenv.2021.150639. Epub 2021 Sep 27.,Drews M,Sci Total Environ,2022,2021/09/30,PMC8479318,,10.1016/j.scitotenv.2021.150639
271,34591897,Yes,Compartmental,Covid-19,Disease control as an optimization problem,"Navascués M, Budroni C, Guryanova Y.",PLoS One. 2021 Sep 30;16(9):e0257958. doi: 10.1371/journal.pone.0257958. eCollection 2021.,Navascués M,PLoS One,2021,2021/09/30,PMC8483379,,10.1371/journal.pone.0257958
272,34588487,Yes,Compartmental,General (theoretical model),A random-walk-based epidemiological model,"Chu A, Huber G, McGeever A, Veytsman B, Yllanes D.",Sci Rep. 2021 Sep 29;11(1):19308. doi: 10.1038/s41598-021-98211-5.,Chu A,Sci Rep,2021,2021/09/30,PMC8481482,,10.1038/s41598-021-98211-5
273,34586304,Yes,Spatiotemporal,Dengue,"Geoclimatic, demographic and socioeconomic characteristics related to dengue outbreaks in Southeastern Brazil: an annual spatial and spatiotemporal risk model over a 12-year period","Vernal S, Nahas AK, Chiaravalloti Neto F, Prete Junior CA, Cortez AL, Sabino EC, Luna EJA.",Rev Inst Med Trop Sao Paulo. 2021 Sep 27;63:e70. doi: 10.1590/S1678-9946202163070. eCollection 2021.,Vernal S,Rev Inst Med Trop Sao Paulo,2021,2021/09/29,PMC8494490,,10.1590/S1678-9946202163070
274,34585031,Yes,Compartmental,Syphilis,"The effect of public health awareness and behaviors on the transmission dynamics of syphilis in Northwest China, 2006-2018, based on a multiple-stages mathematical model","Jing W, Ma N, Liu W, Zhao Y.",Infect Dis Model. 2021 Sep 10;6:1092-1109. doi: 10.1016/j.idm.2021.08.009. eCollection 2021.,Jing W,Infect Dis Model,2021,2021/09/29,PMC8455652,,10.1016/j.idm.2021.08.009
275,34585030,Yes,Compartmental,General (theoretical model),A generalized differential equation compartmental model of infectious disease transmission,"Greenhalgh S, Rozins C.",Infect Dis Model. 2021 Sep 11;6:1073-1091. doi: 10.1016/j.idm.2021.08.007. eCollection 2021.,Greenhalgh S,Infect Dis Model,2021,2021/09/29,PMC8449186,,10.1016/j.idm.2021.08.007
276,34584428,Yes,Time Series,Covid-19,Estimating the Long-Term Epidemiological Trends and Seasonality of Hemorrhagic Fever with Renal Syndrome in China,"Xiao Y, Li Y, Li Y, Yu C, Bai Y, Wang L, Wang Y.",Infect Drug Resist. 2021 Sep 21;14:3849-3862. doi: 10.2147/IDR.S325787. eCollection 2021.,Xiao Y,Infect Drug Resist,2021,2021/09/29,PMC8464322,,10.2147/IDR.S325787
277,34583564,Yes,Time Series,General (theoretical model),A farewell to R: time-series models for tracking and forecasting epidemics,"Harvey A, Kattuman P.",J R Soc Interface. 2021 Sep;18(182):20210179. doi: 10.1098/rsif.2021.0179. Epub 2021 Sep 29.,Harvey A,J R Soc Interface,2021,2021/09/29,PMC8479341,,10.1098/rsif.2021.0179
278,34580569,Yes,Spatiotemporal,Influenza illnesses,Spatio-temporal Differentiation in the Incidence of Influenza and Its Relationship with Air Pollution in China from 2004 to 2017,"Song Y, Zhang Y, Wang T, Qian S, Wang S.",Chin Geogr Sci. 2021;31(5):815-828. doi: 10.1007/s11769-021-1228-2. Epub 2021 Sep 22.,Song Y,Chin Geogr Sci,2021,2021/09/28,PMC8457542,,10.1007/s11769-021-1228-2
279,34575666,Yes,Multiple,Covid-19,COVID-19 Pandemic Outbreak in the Subcontinent: A Data Driven Analysis,"Singh BC, Alom Z, Hu H, Rahman MM, Baowaly MK, Aung Z, Azim MA, Moni MA.",J Pers Med. 2021 Sep 7;11(9):889. doi: 10.3390/jpm11090889.,Singh BC,J Pers Med,2021,2021/09/28,PMC8467040,,10.3390/jpm11090889
280,34574996,Yes,Compartmental,General (theoretical model),Estimation of Human Mobility Patterns for Forecasting the Early Spread of Disease,"Li Z, Li H, Zhang X, Zhao C.",Healthcare (Basel). 2021 Sep 16;9(9):1224. doi: 10.3390/healthcare9091224.,Li Z,Healthcare (Basel),2021,2021/09/28,PMC8468459,,10.3390/healthcare9091224
281,34574785,Yes,Compartmental,Covid-19,How Important Is Behavioral Change during the Early Stages of the COVID-19 Pandemic? A Mathematical Modeling Study,"Lee J, Lee SM, Jung E.",Int J Environ Res Public Health. 2021 Sep 18;18(18):9855. doi: 10.3390/ijerph18189855.,Lee J,Int J Environ Res Public Health,2021,2021/09/28,PMC8469753,,10.3390/ijerph18189855
282,34574592,Yes,Spatiotemporal,Borrelia burgdorferi,Modelling Spatiotemporal Patterns of Lyme Disease Emergence in Québec,"Tutt-Guérette MA, Yuan M, Szaroz D, McKinnon B, Kestens Y, Guillot C, Leighton P, Zinszer K.",Int J Environ Res Public Health. 2021 Sep 14;18(18):9669. doi: 10.3390/ijerph18189669.,Tutt-Guérette MA,Int J Environ Res Public Health,2021,2021/09/28,PMC8470240,,10.3390/ijerph18189669
283,34574459,Yes,Spatiotemporal,Leishmaniasis,Recurrence and Driving Factors of Visceral Leishmaniasis in Central China,"Zhao Y, Jiang D, Ding F, Hao M, Wang Q, Chen S, Xie X, Zheng C, Ma T.",Int J Environ Res Public Health. 2021 Sep 10;18(18):9535. doi: 10.3390/ijerph18189535.,Zhao Y,Int J Environ Res Public Health,2021,2021/09/28,PMC8468393,,10.3390/ijerph18189535
284,34574418,Yes,Compartmental,Dengue,A Framework for Weather-Driven Dengue Virus Transmission Dynamics in Different Brazilian Regions,"Alves LD, Lana RM, Coelho FC.",Int J Environ Res Public Health. 2021 Sep 9;18(18):9493. doi: 10.3390/ijerph18189493.,Alves LD,Int J Environ Res Public Health,2021,2021/09/28,PMC8466780,,10.3390/ijerph18189493
285,34573860,Yes,Compartmental,General (theoretical model),Dynamic Robustness of Open-Source Project Knowledge Collaborative Network Based on Opinion Leader Identification,"Lei S, Zhang X, Liu S.",Entropy (Basel). 2021 Sep 21;23(9):1235. doi: 10.3390/e23091235.,Lei S,Entropy (Basel),2021,2021/09/28,PMC8470236,,10.3390/e23091235
286,34568837,Yes,Time Series,Covid-19,Explaining Causal Influence of External Factors on Incidence Rate of Covid-19,"Paul SK, Jana S, Bhaumik P.",SN Comput Sci. 2021;2(6):465. doi: 10.1007/s42979-021-00864-6. Epub 2021 Sep 18.,Paul SK,SN Comput Sci,2021,2021/09/27,PMC8449528,,10.1007/s42979-021-00864-6
287,34568179,Yes,Time Series,Mumps,Prediction of Mumps Incidence Trend in China Based on Difference Grey Model and Artificial Neural Network Learning,"Jia J, Liu M, Xue Z, Wang Z, Pan Y.",Iran J Public Health. 2021 Jul;50(7):1405-1415. doi: 10.18502/ijph.v50i7.6630.,Jia J,Iran J Public Health,2021,2021/09/27,PMC8426770,,10.18502/ijph.v50i7.6630
288,34567593,Yes,Compartmental,Covid-19,Verification of the accuracy of the SIR model in forecasting based on the improved SIR model with a constant ratio of recovery to infection rate by comparing with monitored second wave data,"Kröger M, Schlickeiser R.",R Soc Open Sci. 2021 Sep 22;8(9):211379. doi: 10.1098/rsos.211379. eCollection 2021 Sep.,Kröger M,R Soc Open Sci,2021,2021/09/27,PMC8456141,,10.1098/rsos.211379
289,34567282,Yes,Time Series,Covid-19,Prediction of COVID-19 pervasiveness in six major affected states of India and two-stage variation with temperature,"Singh S, Parmar KS, Kaur J, Kumar J, Makkhan SJS.",Air Qual Atmos Health. 2021;14(12):2079-2090. doi: 10.1007/s11869-021-01075-x. Epub 2021 Sep 21.,Singh S,Air Qual Atmos Health,2021,2021/09/27,PMC8453038,,10.1007/s11869-021-01075-x
290,34566882,Yes,Compartmental,General (theoretical model),Effect of density dependence on coinfection dynamics,"Andersson J, Ghersheen S, Kozlov V, Tkachev VG, Wennergren U.",Anal Math Phys. 2021;11(4):166. doi: 10.1007/s13324-021-00570-9. Epub 2021 Sep 21.,Andersson J,Anal Math Phys,2021,2021/09/27,PMC8452503,,10.1007/s13324-021-00570-9
291,34566221,Yes,Multiple,General (theoretical model),Scenario prediction of public health emergencies using infectious disease dynamics model and dynamic Bayes,"Gao S, Wang H.",Future Gener Comput Syst. 2022 Feb;127:334-346. doi: 10.1016/j.future.2021.09.028. Epub 2021 Sep 21.,Gao S,Future Gener Comput Syst,2022,2021/09/27,PMC8452458,,10.1016/j.future.2021.09.028
292,34559815,Yes,Compartmental,General (theoretical model),Epidemic management with admissible and robust invariant sets,"Esterhuizen W, Lévine J, Streif S.",PLoS One. 2021 Sep 24;16(9):e0257598. doi: 10.1371/journal.pone.0257598. eCollection 2021.,Esterhuizen W,PLoS One,2021,2021/09/24,PMC8462746,,10.1371/journal.pone.0257598
293,34556681,Yes,Multiple,Covid-19,Simulating the impacts of interregional mobility restriction on the spatial spread of COVID-19 in Japan,Kondo K.,Sci Rep. 2021 Sep 23;11(1):18951. doi: 10.1038/s41598-021-97170-1.,Kondo K,Sci Rep,2021,2021/09/24,PMC8460743,,10.1038/s41598-021-97170-1
294,34552726,Yes,Time Series,Covid-19,COVID-19 case doubling time associated with non-pharmaceutical interventions and vaccination: A global experience,"Liang LL, Kao CT, Ho HJ, Wu CY.",J Glob Health. 2021 Sep 4;11:05021. doi: 10.7189/jogh.11.05021. eCollection 2021.,Liang LL,J Glob Health,2021,2021/09/23,PMC8442574,,10.7189/jogh.11.05021
295,34552139,Yes,Agent-based,Covid-19,The impact of prioritisation and dosing intervals on the effects of COVID-19 vaccination in Europe: an agent-based cohort model,"Català M, Li X, Prats C, Prieto-Alhambra D.",Sci Rep. 2021 Sep 22;11(1):18812. doi: 10.1038/s41598-021-98216-0.,Català M,Sci Rep,2021,2021/09/23,PMC8458447,,10.1038/s41598-021-98216-0
296,34551108,Yes,Compartmental,Influenza illnesses,Quantifying the Impact of COVID-19 Nonpharmaceutical Interventions on Influenza Transmission in the United States,"Qi Y, Shaman J, Pei S.",J Infect Dis. 2021 Nov 16;224(9):1500-1508. doi: 10.1093/infdis/jiab485.,Qi Y,J Infect Dis,2021,2021/09/22,PMC8522386,,10.1093/infdis/jiab485
297,34550488,Yes,Compartmental,General (theoretical model),A geometric analysis of the SIRS epidemiological model on a homogeneous network,"Jardón-Kojakhmetov H, Kuehn C, Pugliese A, Sensi M.",J Math Biol. 2021 Sep 22;83(4):37. doi: 10.1007/s00285-021-01664-5.,Jardón-Kojakhmetov H,J Math Biol,2021,2021/09/22,PMC8456690,,10.1007/s00285-021-01664-5
298,34550465,Yes,Compartmental,General (theoretical model),On the optimal control of SIR model with Erlang-distributed infectious period: isolation strategies,"Bolzoni L, Della Marca R, Groppi M.",J Math Biol. 2021 Sep 22;83(4):36. doi: 10.1007/s00285-021-01668-1.,Bolzoni L,J Math Biol,2021,2021/09/22,PMC8456197,,10.1007/s00285-021-01668-1
299,34548702,Yes,Time Series,Covid-19,Modeling and forecasting the COVID-19 pandemic time-series data,"Doornik JA, Castle JL, Hendry DF.",Soc Sci Q. 2021 Aug 7:10.1111/ssqu.13008. doi: 10.1111/ssqu.13008. Online ahead of print.,Doornik JA,Soc Sci Q,2021,2021/09/22,PMC8447006,,10.1111/ssqu.13008
300,34547363,Yes,Compartmental,Covid-19,Retrospective analysis of interventions to epidemics using dynamic simulation of population behavior,"Osborn J, Berman S, Bender-Bier S, D'Souza G, Myers M.",Math Biosci. 2021 Nov;341:108712. doi: 10.1016/j.mbs.2021.108712. Epub 2021 Sep 20.,Osborn J,Math Biosci,2021,2021/09/21,PMC8451982,,10.1016/j.mbs.2021.108712
301,34541519,Yes,Time Series,Covid-19,Reliable and Interpretable Mortality Prediction With Strong Foresight in COVID-19 Patients: An International Study From China and Germany,"Bai T, Zhu X, Zhou X, Grathwohl D, Yang P, Zha Y, Jin Y, Chong H, Yu Q, Isberner N, Wang D, Zhang L, Kortüm KM, Song J, Rasche L, Einsele H, Ning K, Hou X.",Front Artif Intell. 2021 Sep 3;4:672050. doi: 10.3389/frai.2021.672050. eCollection 2021.,Bai T,Front Artif Intell,2021,2021/09/20,PMC8446629,,10.3389/frai.2021.672050
302,34539296,Yes,Compartmental,General (theoretical model),Periodicity and stationary distribution of two novel stochastic epidemic models with infectivity in the latent period and household quarantine,"Shangguan D, Liu Z, Wang L, Tan R.",J Appl Math Comput. 2021 Sep 15:1-20. doi: 10.1007/s12190-021-01627-5. Online ahead of print.,Shangguan D,J Appl Math Comput,2021,2021/09/20,PMC8440746,,10.1007/s12190-021-01627-5
303,34538991,Yes,Compartmental,Covid-19,Prediction on transmission trajectory of COVID-19 based on particle swarm algorithm,"Ding C, Chen Y, Liu Z, Liu T.",Pattern Recognit Lett. 2021 Dec;152:70-78. doi: 10.1016/j.patrec.2021.09.003. Epub 2021 Sep 15.,Ding C,Pattern Recognit Lett,2021,2021/09/20,PMC8440343,,10.1016/j.patrec.2021.09.003
304,34538699,Yes,Compartmental,Covid-19,The use of face masks during vaccine roll-out in New YorkCity and impact on epidemic control,"Raina MacIntyre C, Costantino V, Chanmugam A.",Vaccine. 2021 Oct 8;39(42):6296-6301. doi: 10.1016/j.vaccine.2021.08.102. Epub 2021 Sep 16.,Raina MacIntyre C,Vaccine,2021,2021/09/20,PMC8443976,,10.1016/j.vaccine.2021.08.102
305,34534205,Yes,Agent-based,Covid-19,Uncertainty quantification and sensitivity analysis of COVID-19 exit strategies in an individual-based transmission model,"Gugole F, Coffeng LE, Edeling W, Sanderse B, de Vlas SJ, Crommelin D.",PLoS Comput Biol. 2021 Sep 17;17(9):e1009355. doi: 10.1371/journal.pcbi.1009355. eCollection 2021 Sep.,Gugole F,PLoS Comput Biol,2021,2021/09/17,PMC8480746,,10.1371/journal.pcbi.1009355
306,34529036,Yes,Agent-based,General (theoretical model),BioDynaMo: a modular platform for high-performance agent-based simulation,"Breitwieser L, Hesam A, de Montigny J, Vavourakis V, Iosif A, Jennings J, Kaiser M, Manca M, Di Meglio A, Al-Ars Z, Rademakers F, Mutlu O, Bauer R.",Bioinformatics. 2021 Sep 16;38(2):453-60. doi: 10.1093/bioinformatics/btab649. Online ahead of print.,Breitwieser L,Bioinformatics,2021,2021/09/16,PMC8723141,,10.1093/bioinformatics/btab649
307,34527265,Yes,Compartmental,Covid-19,Optimal shutdown strategies for COVID-19 with economic and mortality costs: British Columbia as a case study,"Barlow MT, Marshall ND, Tyson RC.",R Soc Open Sci. 2021 Sep 8;8(9):202255. doi: 10.1098/rsos.202255. eCollection 2021 Sep.,Barlow MT,R Soc Open Sci,2021,2021/09/16,PMC8424295,,10.1098/rsos.202255
308,34525112,Yes,Compartmental,Covid-19,Effect of high and low risk susceptibles in the transmission dynamics of COVID-19 and control strategies,"Khan A, Ali M, Iqbal W, Imran M.",PLoS One. 2021 Sep 15;16(9):e0257354. doi: 10.1371/journal.pone.0257354. eCollection 2021.,Khan A,PLoS One,2021,2021/09/15,PMC8443082,,10.1371/journal.pone.0257354
309,34521916,Yes,Compartmental,Covid-19,National interest may require distributing COVID-19 vaccines to other countries,"Rotesi T, Pin P, Cucciniello M, Malik AA, Paintsil EE, Bokemper SE, Willebrand K, Huber GA, Melegaro A, Omer SB.",Sci Rep. 2021 Sep 14;11(1):18253. doi: 10.1038/s41598-021-97544-5.,Rotesi T,Sci Rep,2021,2021/09/15,PMC8440602,,10.1038/s41598-021-97544-5
310,34520691,Yes,Time Series,Dengue,Hyperendemicity associated with increased dengue burden,"Lim JT, Dickens BS, Tan KW, Koo JR, Seah A, Ho SH, Ong J, Rajarethinam J, Soh S, Cook AR, Ng LC.",J R Soc Interface. 2021 Sep;18(182):20210565. doi: 10.1098/rsif.2021.0565. Epub 2021 Sep 15.,Lim JT,J R Soc Interface,2021,2021/09/14,PMC8440027,,10.1098/rsif.2021.0565
311,34514293,Yes,Agent-based,Covid-19,Designing the Safe Reopening of US Towns Through High-Resolution Agent-Based Modeling,"Truszkowska A, Thakore M, Zino L, Butail S, Caroppo E, Jiang ZP, Rizzo A, Porfiri M.",Adv Theory Simul. 2021 Aug 1:2100157. doi: 10.1002/adts.202100157. Online ahead of print.,Truszkowska A,Adv Theory Simul,2021,2021/09/13,PMC8420460,,10.1002/adts.202100157
312,34514179,Yes,Compartmental,Covid-19,Age-stratified transmission model of COVID-19 in Ontario with human mobility during pandemic's first wave,"Fields R, Humphrey L, Flynn-Primrose D, Mohammadi Z, Nahirniak M, Thommes EW, Cojocaru MG.",Heliyon. 2021 Sep;7(9):e07905. doi: 10.1016/j.heliyon.2021.e07905. Epub 2021 Sep 2.,Fields R,Heliyon,2021,2021/09/13,PMC8419869,,10.1016/j.heliyon.2021.e07905
313,34513550,Yes,Time Series,Covid-19,Short-term associations of air pollution and meteorological variables on the incidence and severity of COVID-19 in Madrid (Spain): a time series study,"Linares C, Belda F, López-Bueno JA, Luna MY, Sánchez-Martínez G, Hervella B, Culqui D, Díaz J.",Environ Sci Eur. 2021;33(1):107. doi: 10.1186/s12302-021-00548-1. Epub 2021 Sep 6.,Linares C,Environ Sci Eur,2021,2021/09/13,PMC8420149,,10.1186/s12302-021-00548-1
314,34512113,Yes,Compartmental,Covid-19,"Measuring the impact of suspending Umrah, a global mass gathering in Saudi Arabia on the COVID-19 pandemic","Alshammari SM, Almutiry WK, Gwalani H, Algarni SM, Saeedi K.",Comput Math Organ Theory. 2021 Sep 6:1-26. doi: 10.1007/s10588-021-09343-y. Online ahead of print.,Alshammari SM,Comput Math Organ Theory,2021,2021/09/13,PMC8421017,,10.1007/s10588-021-09343-y
315,34512104,Yes,Spatiotemporal,Covid-19,Understanding and predicting the spatio-temporal spread of COVID-19 via integrating diffusive graph embedding and compartmental models,"Zhang T, Li J.",Trans GIS. 2021 Jul 16:10.1111/tgis.12803. doi: 10.1111/tgis.12803. Online ahead of print.,Zhang T,Trans GIS,2021,2021/09/13,PMC8420127,,10.1111/tgis.12803
316,34511751,Yes,Time Series,Covid-19,Dynamic activity chain pattern estimation under mobility demand changes during COVID-19,"Liu Y, Tong LC, Zhu X, Du W.",Transp Res Part C Emerg Technol. 2021 Oct;131:103361. doi: 10.1016/j.trc.2021.103361. Epub 2021 Aug 25.,Liu Y,Transp Res Part C Emerg Technol,2021,2021/09/13,PMC8418203,,10.1016/j.trc.2021.103361
317,34511724,Yes,Time Series,Covid-19,An exploration of fractal-based prognostic model and comparative analysis for second wave of COVID-19 diffusion,"Easwaramoorthy D, Gowrisankar A, Manimaran A, Nandhini S, Rondoni L, Banerjee S.",Nonlinear Dyn. 2021;106(2):1375-1395. doi: 10.1007/s11071-021-06865-7. Epub 2021 Sep 8.,Easwaramoorthy D,Nonlinear Dyn,2021,2021/09/13,PMC8424174,,10.1007/s11071-021-06865-7
318,34511711,Yes,Agent-based,Covid-19,An agent-based model of spread of a pandemic with validation using COVID-19 data from New York State,"Datta A, Winkelstein P, Sen S.",Physica A. 2022 Jan 1;585:126401. doi: 10.1016/j.physa.2021.126401. Epub 2021 Sep 8.,Datta A,Physica A,2022,2021/09/13,PMC8423815,,10.1016/j.physa.2021.126401
319,34510006,Yes,Time Series,Gonorrhea,Social mobility and gonorrhoea in Germany during 2020,"Sulyok M, Walker M.",Sex Transm Infect. 2021 Sep 11:sextrans-2021-055159. doi: 10.1136/sextrans-2021-055159. Online ahead of print.,Sulyok M,Sex Transm Infect,2021,2021/09/12,PMC8440122,,10.1136/sextrans-2021-055159
320,34508349,Yes,Time Series,Covid-19,Effect of physical distancing on Covid-19 incidence in Brazil: does the strictness of mandatory rules matter?,"Guimarães RM, Monteiro da Silva JHC, Brusse GPL, Martins TCF.",Health Policy Plan. 2021 Nov 11;36(10):1605-1612. doi: 10.1093/heapol/czab110.,Guimarães RM,Health Policy Plan,2021,2021/09/11,PMC8499867,,10.1093/heapol/czab110
321,34507859,Yes,Compartmental,Covid-19,The impact of COVID-19 vaccination delay: A data-driven modeling analysis for Chicago and New York City,"Albani VVL, Loria J, Massad E, Zubelli JP.",Vaccine. 2021 Oct 1;39(41):6088-6094. doi: 10.1016/j.vaccine.2021.08.098. Epub 2021 Aug 31.,Albani VVL,Vaccine,2021,2021/09/11,PMC8405507,,10.1016/j.vaccine.2021.08.098
322,34501616,Yes,Compartmental,Covid-19,Dynamical Analysis of Universal Masking on the Pandemic,"Tay BK, Roby CA, Wu JW, Tan DY.",Int J Environ Res Public Health. 2021 Aug 27;18(17):9027. doi: 10.3390/ijerph18179027.,Tay BK,Int J Environ Res Public Health,2021,2021/09/10,PMC8430774,,10.3390/ijerph18179027
323,34499681,Yes,Multiple,Covid-19,Effect of easing lockdown and restriction measures on COVID-19 epidemic projection: A case study of Saudi Arabia,"Shimul SN, Alradie-Mohamed A, Kabir R, Al-Mohaimeed A, Mahmud I.",PLoS One. 2021 Sep 9;16(9):e0256958. doi: 10.1371/journal.pone.0256958. eCollection 2021.,Shimul SN,PLoS One,2021,2021/09/09,PMC8428777,,10.1371/journal.pone.0256958
